,K2_value,Initial_population_list,optimum_C_value
379,9.75,2750,0.0
380,0.5,3000,1.8
381,0.75,3000,1.15
382,1.0,3000,0.85
383,1.25,3000,0.65
384,1.5,3000,0.55
385,1.75,3000,0.45
386,2.0,3000,0.35
387,2.25,3000,0.3
388,2.5,3000,0.3
389,2.75,3000,0.25
390,3.0,3000,0.2
391,3.25,3000,0.2
392,3.5,3000,0.2
393,3.75,3000,0.15
394,4.0,3000,0.1
395,4.25,3000,0.1
396,4.5,3000,0.1
397,4.75,3000,0.1
398,5.0,3000,0.1
399,5.25,3000,0.1
400,5.5,3000,0.1
401,5.75,3000,0.1
402,6.0,3000,0.05
403,6.25,3000,0.05
404,6.5,3000,0.05
405,6.75,3000,0.0
406,7.0,3000,0.0
407,7.25,3000,0.0
408,7.5,3000,0.0
409,7.75,3000,0.0
410,8.0,3000,0.0
411,8.25,3000,0.0
412,8.5,3000,0.0
413,8.75,3000,0.0
414,9.0,3000,0.0
415,9.25,3000,0.0
416,9.5,3000,0.0
417,9.75,3000,0.0
418,0.5,3250,1.75
419,0.75,3250,1.1
420,1.0,3250,0.85
421,1.25,3250,0.65
422,1.5,3250,0.55
423,1.75,3250,0.45
424,2.0,3250,0.4
425,2.25,3250,0.3
426,2.5,3250,0.3
427,2.75,3250,0.25
428,3.0,3250,0.15
429,3.25,3250,0.15
430,3.5,3250,0.2
431,3.75,3250,0.15
432,4.0,3250,0.0
433,4.25,3250,0.05
434,4.5,3250,0.1
435,4.75,3250,0.1
436,5.0,3250,0.05
437,5.25,3250,0.1
438,5.5,3250,0.05
439,5.75,3250,0.05
440,6.0,3250,0.05
441,6.25,3250,0.05
442,6.5,3250,0.05
443,6.75,3250,0.0
444,7.0,3250,-0.05
445,7.25,3250,0.0
446,7.5,3250,0.0
447,7.75,3250,-0.05
448,8.0,3250,0.0
449,8.25,3250,-0.05
450,8.5,3250,0.0
451,8.75,3250,0.0
452,9.0,3250,-0.05
453,9.25,3250,-0.1
454,9.5,3250,0.0
455,9.75,3250,0.0
456,0.5,3500,1.8
457,0.75,3500,1.15
458,1.0,3500,0.85
459,1.25,3500,0.65
460,1.5,3500,0.55
461,1.75,3500,0.45
462,2.0,3500,0.4
463,2.25,3500,0.3
464,2.5,3500,0.3
465,2.75,3500,0.25
466,3.0,3500,0.2
467,3.25,3500,0.2
468,3.5,3500,0.2
469,3.75,3500,0.2
470,4.0,3500,0.1
471,4.25,3500,0.1
472,4.5,3500,0.1
473,4.75,3500,0.1
474,5.0,3500,0.1
475,5.25,3500,0.1
476,5.5,3500,0.1
477,5.75,3500,0.1
478,6.0,3500,0.1
479,6.25,3500,0.1
480,6.5,3500,0.05
481,6.75,3500,0.0
482,7.0,3500,0.0
483,7.25,3500,0.0
484,7.5,3500,0.0
485,7.75,3500,0.0
486,8.0,3500,0.0
487,8.25,3500,0.0
488,8.5,3500,0.0
489,8.75,3500,0.0
490,9.0,3500,0.0
491,9.25,3500,0.0
492,9.5,3500,0.0
493,9.75,3500,0.0
494,0.5,3750,1.85
495,0.75,3750,1.15
496,1.0,3750,0.85
497,1.25,3750,0.65
498,1.5,3750,0.55
499,1.75,3750,0.45
500,2.0,3750,0.4
501,2.25,3750,0.3
502,2.5,3750,0.3
503,2.75,3750,0.25
504,3.0,3750,0.2
505,3.25,3750,0.2
506,3.5,3750,0.2
507,3.75,3750,0.2
508,4.0,3750,0.1
509,4.25,3750,0.1
510,4.5,3750,0.1
511,4.75,3750,0.1
512,5.0,3750,0.1
513,5.25,3750,0.1
514,5.5,3750,0.1
515,5.75,3750,0.1
516,6.0,3750,0.1
517,6.25,3750,0.1
518,6.5,3750,0.1
519,6.75,3750,0.0
520,7.0,3750,0.0
521,7.25,3750,0.0
522,7.5,3750,0.0
523,7.75,3750,0.0
524,8.0,3750,0.0
525,8.25,3750,0.0
526,8.5,3750,0.0
527,8.75,3750,0.0
528,9.0,3750,0.0
529,9.25,3750,0.0
530,9.5,3750,-0.05
531,9.75,3750,0.0
532,0.5,4000,1.8
533,0.75,4000,1.15
534,1.0,4000,0.85
535,1.25,4000,0.7
