,K2_value,Initial_population_list,number_of_generations_range,optimum_C_value
416,1.0,3000,3,0.75
417,1.0,3000,4,0.7
418,1.0,3000,5,0.65
419,1.0,3000,6,0.6
420,1.0,3000,7,0.55
421,1.0,3000,8,0.55
422,1.0,3000,9,0.55
423,1.5,3000,1,0.5
424,1.5,3000,2,0.55
425,1.5,3000,3,0.5
426,1.5,3000,4,0.45
427,1.5,3000,5,0.4
428,1.5,3000,6,0.35
429,1.5,3000,7,0.35
430,1.5,3000,8,0.3
431,1.5,3000,9,0.3
432,2.0,3000,1,0.35
433,2.0,3000,2,0.4
434,2.0,3000,3,0.35
435,2.0,3000,4,0.35
436,2.0,3000,5,0.3
437,2.0,3000,6,0.25
438,2.0,3000,7,0.25
439,2.0,3000,8,0.25
440,2.0,3000,9,0.2
441,2.5,3000,1,0.3
442,2.5,3000,2,0.3
443,2.5,3000,3,0.3
444,2.5,3000,4,0.25
445,2.5,3000,5,0.25
446,2.5,3000,6,0.2
447,2.5,3000,7,0.2
448,2.5,3000,8,0.2
449,2.5,3000,9,0.15
450,3.0,3000,1,0.2
451,3.0,3000,2,0.25
452,3.0,3000,3,0.25
453,3.0,3000,4,0.2
454,3.0,3000,5,0.2
455,3.0,3000,6,0.15
456,3.0,3000,7,0.15
457,3.0,3000,8,0.15
458,3.0,3000,9,0.15
459,3.5,3000,1,0.2
460,3.5,3000,2,0.2
461,3.5,3000,3,0.2
462,3.5,3000,4,0.2
463,3.5,3000,5,0.15
464,3.5,3000,6,0.15
465,3.5,3000,7,0.15
466,3.5,3000,8,0.15
467,3.5,3000,9,0.1
468,4.0,3000,1,0.1
469,4.0,3000,2,0.15
470,4.0,3000,3,0.15
471,4.0,3000,4,0.15
472,4.0,3000,5,0.15
473,4.0,3000,6,0.15
474,4.0,3000,7,0.1
475,4.0,3000,8,0.1
476,4.0,3000,9,0.1
477,4.5,3000,1,0.1
478,4.5,3000,2,0.1
479,4.5,3000,3,0.15
480,4.5,3000,4,0.15
481,4.5,3000,5,0.15
482,4.5,3000,6,0.1
483,4.5,3000,7,0.1
484,4.5,3000,8,0.1
485,4.5,3000,9,0.1
486,0.5,3500,1,1.8
487,0.5,3500,2,1.8
488,0.5,3500,3,1.65
489,0.5,3500,4,1.55
490,0.5,3500,5,1.45
491,0.5,3500,6,1.4
492,0.5,3500,7,1.35
493,0.5,3500,8,1.35
494,0.5,3500,9,1.35
495,1.0,3500,1,0.85
496,1.0,3500,2,0.85
497,1.0,3500,3,0.75
498,1.0,3500,4,0.7
499,1.0,3500,5,0.65
500,1.0,3500,6,0.6
501,1.0,3500,7,0.55
502,1.0,3500,8,0.55
503,1.0,3500,9,0.55
504,1.5,3500,1,0.55
505,1.5,3500,2,0.55
506,1.5,3500,3,0.5
507,1.5,3500,4,0.45
508,1.5,3500,5,0.4
509,1.5,3500,6,0.35
510,1.5,3500,7,0.35
511,1.5,3500,8,0.3
512,1.5,3500,9,0.3
513,2.0,3500,1,0.4
514,2.0,3500,2,0.4
515,2.0,3500,3,0.35
516,2.0,3500,4,0.35
517,2.0,3500,5,0.3
518,2.0,3500,6,0.25
519,2.0,3500,7,0.25
520,2.0,3500,8,0.25
521,2.0,3500,9,0.2
522,2.5,3500,1,0.3
523,2.5,3500,2,0.3
524,2.5,3500,3,0.3
525,2.5,3500,4,0.25
526,2.5,3500,5,0.25
527,2.5,3500,6,0.2
528,2.5,3500,7,0.2
529,2.5,3500,8,0.2
530,2.5,3500,9,0.15
531,3.0,3500,1,0.2
532,3.0,3500,2,0.25
533,3.0,3500,3,0.25
534,3.0,3500,4,0.2
535,3.0,3500,5,0.2
536,3.0,3500,6,0.2
537,3.0,3500,7,0.15
538,3.0,3500,8,0.15
539,3.0,3500,9,0.15
540,3.5,3500,1,0.2
541,3.5,3500,2,0.2
542,3.5,3500,3,0.2
543,3.5,3500,4,0.2
544,3.5,3500,5,0.15
545,3.5,3500,6,0.15
546,3.5,3500,7,0.15
547,3.5,3500,8,0.15
548,3.5,3500,9,0.1
549,4.0,3500,1,0.1
550,4.0,3500,2,0.15
551,4.0,3500,3,0.15
552,4.0,3500,4,0.15
553,4.0,3500,5,0.15
554,4.0,3500,6,0.15
555,4.0,3500,7,0.1
556,4.0,3500,8,0.1
557,4.0,3500,9,0.1
558,4.5,3500,1,0.1
559,4.5,3500,2,0.15
560,4.5,3500,3,0.15
561,4.5,3500,4,0.15
562,4.5,3500,5,0.15
563,4.5,3500,6,0.1
564,4.5,3500,7,0.1
565,4.5,3500,8,0.1
566,4.5,3500,9,0.1
567,0.5,4000,1,1.85
568,0.5,4000,2,1.8
569,0.5,4000,3,1.65
570,0.5,4000,4,1.55
571,0.5,4000,5,1.45
572,0.5,4000,6,1.4
573,0.5,4000,7,1.35
574,0.5,4000,8,1.3
575,0.5,4000,9,1.3
576,1.0,4000,1,0.85
577,1.0,4000,2,0.85
578,1.0,4000,3,0.75
579,1.0,4000,4,0.7
580,1.0,4000,5,0.65
581,1.0,4000,6,0.6
582,1.0,4000,7,0.55
583,1.0,4000,8,0.55
584,1.0,4000,9,0.5
585,1.5,4000,1,0.55
586,1.5,4000,2,0.55
587,1.5,4000,3,0.5
588,1.5,4000,4,0.45
589,1.5,4000,5,0.4
590,1.5,4000,6,0.4
591,1.5,4000,7,0.35
592,1.5,4000,8,0.35
593,1.5,4000,9,0.3
594,2.0,4000,1,0.4
595,2.0,4000,2,0.4
596,2.0,4000,3,0.35
597,2.0,4000,4,0.35
598,2.0,4000,5,0.3
599,2.0,4000,6,0.25
600,2.0,4000,7,0.25
601,2.0,4000,8,0.25
602,2.0,4000,9,0.2
603,2.5,4000,1,0.3
604,2.5,4000,2,0.3
605,2.5,4000,3,0.3
606,2.5,4000,4,0.25
607,2.5,4000,5,0.25
608,2.5,4000,6,0.2
609,2.5,4000,7,0.2
610,2.5,4000,8,0.2
611,2.5,4000,9,0.15
612,3.0,4000,1,0.2
613,3.0,4000,2,0.25
614,3.0,4000,3,0.25
615,3.0,4000,4,0.2
616,3.0,4000,5,0.2
617,3.0,4000,6,0.2
618,3.0,4000,7,0.15
619,3.0,4000,8,0.15
